# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	16526
#@/user_id	windows11-caoayu-pc-i512400
a 	啊	c=99 d=2.19152 t=16526
wo yi sheng 	我医生	c=1 d=0.631284 t=16526
wo yi si 	我意思	c=1 d=1.7558e-05 t=16526
wo yi wei 	我以为	c=2 d=0.13068 t=16526
wo yi zhi 	我一直	c=2 d=0.00794669 t=16526
wo yong 	我用	c=3 d=0.128735 t=16526
wo you 	我有	c=1 d=0.423162 t=16526
wo yu suan 	我预算	c=1 d=8.35839e-09 t=16526
wo za 	我咋	c=4 d=0.268474 t=16526
wo zai 	我再	c=3 d=0.00479587 t=16526
wo zai 	我在	c=1 d=0.000119762 t=16526
wo zen me 	我怎么	c=2 d=0.0812682 t=16526
wo zhao zhao 	我找找	c=1 d=0.0225956 t=16526
wo zhe 	我这	c=3 d=0.477166 t=16526
wo zhe bian 	我这边	c=1 d=2.10208e-05 t=16526
wo zhe zhong 	我这种	c=1 d=0.00914087 t=16526
wo zheng zai 	我正在	c=1 d=0.00755912 t=16526
wo zhi qian 	我之前	c=1 d=9.9586e-11 t=16526
wo zhong wu 	我中午	c=1 d=1.3041e-06 t=16526
wu 	无	c=0 d=0.0392586 t=16526
wu bi 	五笔	c=1 d=0.00013776 t=16526
wu di fang shi 	无的放矢	c=1 d=0.0146986 t=16526
wu fa 	无法	c=8 d=0.180878 t=16526
wu fei shi 	无非是	c=1 d=0.000347412 t=16526
wu gan 	无感	c=2 d=0.0515605 t=16526
wu lei 	吴磊	c=1 d=0.00346515 t=16526
wu li ti 	物理题	c=1 d=2.44268e-07 t=16526
wu lun 	无论	c=1 d=0.0152985 t=16526
wu suo wei 	无所谓	c=2 d=0.327915 t=16526
wu wu 	无雾	c=2 d=2.22117e-11 t=16526
wu xiao 	无效	c=1 d=2.76265e-14 t=16526
wu xu 	无需	c=3 d=1.33099e-05 t=16526
wu xu yao 	无需要	c=1 d=2.82383e-07 t=16526
wu yi yi 	无意义	c=1 d=0.000152248 t=16526
wu yong 	无用	c=1 d=0.000131041 t=16526
wu yu 	无语	c=1 d=0.778801 t=16526
wu yue tian 	五月天	c=1 d=6.49161e-06 t=16526
xi 	习	c=1 d=6.11461e-08 t=16526
xi 	洗	c=6 d=2.16516 t=16526
xi 	系	c=1 d=0.474734 t=16526
xi 	细	c=2 d=0.179964 t=16526
xi 	西	c=3 d=0.0049668 t=16526
xi an 	西安	c=3 d=0.380983 t=16526
xi bai 	洗白	c=1 d=0.00543443 t=16526
xi dao 	西道	c=1 d=6.67431e-09 t=16526
xi ge 	洗个	c=1 d=0.535261 t=16526
xi ge lian 	洗个脸	c=2 d=0.576723 t=16526
xi ge tou 	洗个头	c=2 d=0.000365224 t=16526
xi gou 	细狗	c=1 d=0.00414854 t=16526
xi huan 	喜欢	c=1 d=0.00927901 t=16526
xi jiao 	洗脚	c=1 d=0.548812 t=16526
xi jiao 	西交	c=0 d=0.000194013 t=16526
xi jiao da 	西交大	c=1 d=0.00194986 t=16526
xi le 	洗了	c=0 d=0.00352602 t=16526
xi lie 	系列	c=11 d=2.33286e-12 t=16526
xi nan 	西南	c=5 d=0.718924 t=16526
xi shou jian 	洗手间	c=1 d=0.00522135 t=16526
xi shu 	洗漱	c=1 d=5.71598e-09 t=16526
xi tong 	系统	c=23 d=1.29739 t=16526
xi tou 	洗头	c=0 d=3.23925e-05 t=16526
xi wan 	洗完	c=1 d=1.33802e-14 t=16526
xi wang 	希望	c=1 d=2.01615e-14 t=16526
xi xin 	细心	c=1 d=0.00767337 t=16526
xi yi ji 	洗衣机	c=2 d=0.923116 t=16526
xi zao 	洗澡	c=1 d=1.30498e-14 t=16526
xi zhan 	西站	c=2 d=4.09043e-05 t=16526
xia 	下	c=29 d=2.2813 t=16526
xia ban 	下班	c=2 d=0.13332 t=16526
xia bian 	下边	c=1 d=0.543351 t=16526
xia bo 	下播	c=3 d=0.440432 t=16526
xia bo 	匣钵	c=1 d=0.00100276 t=16526
xia dan 	下单	c=6 d=0.402328 t=16526
xia de 	下的	c=1 d=0.00162866 t=16526
xia de 	吓得	c=1 d=0.000728153 t=16526
xia fang 	下方	c=1 d=4.18083e-06 t=16526
xia ge 	下个	c=1 d=0.0632918 t=16526
xia jia 	下架	c=1 d=0.000257369 t=16526
xia jia le 	下加了	c=1 d=0.000256085 t=16526
xia lai 	下来	c=2 d=0.197899 t=16526
xia le 	下了	c=1 d=0.00112497 t=16526
xia le 	瞎了	c=2 d=0.139457 t=16526
xia mian 	下面	c=5 d=0.895834 t=16526
xia pao 	吓跑	c=1 d=0.701173 t=16526
xia qu 	下去	c=1 d=0.00158844 t=16526
xia shuo 	瞎说	c=1 d=0.0356146 t=16526
xia wu 	下午	c=11 d=0.699434 t=16526
xia xue 	下雪	c=1 d=0.113608 t=16526
xia yi ge 	下一个	c=2 d=0.0026189 t=16526
xia yu 	下雨	c=1 d=1.41319e-10 t=16526
xia zai 	下载	c=4 d=1.79203 t=16526
xia zhou 	下周	c=2 d=0.238115 t=16526
xia zhou yi 	下周一	c=1 d=0.0156858 t=16526
xian 	先	c=23 d=0.735008 t=16526
xian 	县	c=1 d=0.00835412 t=16526
xian 	现	c=1 d=0.000125275 t=16526
xian 	闲	c=1 d=0.0248475 t=16526
xian ba 	先把	c=1 d=0.000422213 t=16526
xian bu 	先不	c=0 d=0.00026852 t=16526
xian bu ji 	先不急	c=1 d=0.00269866 t=16526
xian cheng 	县城	c=3 d=0.25924 t=16526
xian cheng 	现成	c=1 d=2.52487e-14 t=16526
xian jin 	先进	c=1 d=9.93627e-14 t=16526
xian le 	闲了	c=3 d=0.207008 t=16526
xian mu 	羡慕	c=1 d=0.00532682 t=16526
xian shang 	线上	c=10 d=1.18308 t=16526
xian shi 	显式	c=3 d=0.38071 t=16526
xian shi 	显示	c=30 d=1.96953 t=16526
xian su 	限速	c=1 d=0.310367 t=16526
xian xia 	线下	c=2 d=0.192179 t=16526
xian zai 	现在	c=34 d=0.988006 t=16526
xian zhe 	闲着	c=1 d=0.0116203 t=16526
xian zhi 	限制	c=7 d=1.93086 t=16526
xian zhua 	先抓	c=1 d=7.12134e-07 t=16526
xiang 	享	c=1 d=0.0780817 t=16526
xiang 	像	c=7 d=0.0700008 t=16526
xiang 	向	c=2 d=0.0280154 t=16526
xiang 	想	c=15 d=0.818739 t=16526
xiang 	相	c=4 d=0.000372038 t=16526
xiang 	象	c=1 d=0.0889216 t=16526
xiang 	项	c=2 d=0.000428594 t=16526
xiang dao 	想到	c=1 d=3.30637e-10 t=16526
xiang fa 	想法	c=3 d=0.00584112 t=16526
xiang fan 	相反	c=1 d=1.31063e-06 t=16526
xiang gang 	香港	c=1 d=2.75505e-11 t=16526
xiang ge 	像个	c=1 d=1.23112e-05 t=16526
xiang guan 	相关	c=1 d=0.0026189 t=16526
xiang jiu 	箱酒	c=1 d=0.380983 t=16526
xiang lai 	向来	c=0 d=0.0293758 t=16526
xiang mu 	项目	c=24 d=1.05527 t=16526
xiang mu hao 	项目号	c=3 d=0.114178 t=16526
xiang ni 	想你	c=1 d=0.000812821 t=16526
xiang qi lai 	想起来	c=1 d=5.9053e-10 t=16526
xiang qin 	相亲	c=7 d=0.0401553 t=16526
xiang qing 	详情	c=2 d=0.0152222 t=16526
xiang ri kui 	向日葵	c=3 d=0.00655581 t=16526
xiang wen 	想问	c=1 d=1.37119e-08 t=16526
xiang xi 	详细	c=5 d=0.37859 t=16526
xiang xia 	向下	c=1 d=0.615697 t=16526
xiang xiang 	想想	c=1 d=0.113608 t=16526
xiang xin 	相信	c=1 d=0.021068 t=16526
xiang yao 	想要	c=1 d=4.22573e-14 t=16526
xiang ying 	响应	c=2 d=0.378657 t=16526
xiang ying 	相应	c=2 d=0.66034 t=16526
xiang yong 	想用	c=1 d=3.35691e-12 t=16526
xiang zhao 	想找	c=0 d=0.000240549 t=16526
xiao 	小	c=5 d=0.891366 t=16526
xiao 	笑	c=2 d=0.060205 t=16526
xiao bai 	小白	c=2 d=4.15997e-10 t=16526
xiao cheng 	小城	c=1 d=5.27472e-05 t=16526
xiao cheng xu 	小程序	c=6 d=0.0599898 t=16526
xiao di di 	小弟弟	c=1 d=0.249075 t=16526
xiao gang pao 	小钢炮	c=1 d=0.00524752 t=16526
xiao gong ju 	小工具	c=1 d=0.00122477 t=16526
xiao gou gou 	小狗狗	c=0 d=1.9549e-05 t=16526
xiao gou gou si 	小狗狗死	c=1 d=0.00019647 t=16526
xiao guo 	效果	c=4 d=0.162026 t=16526
xiao hai 	小孩	c=2 d=0.449329 t=16526
xiao hao 	小号	c=2 d=1.82059 t=16526
xiao hei zi 	小黑子	c=2 d=1.52068 t=16526
xiao hong shu 	小红书	c=1 d=3.02807e-05 t=16526
xiao hua 	笑话	c=2 d=0.867741 t=16526
xiao hua ni 	笑话你	c=1 d=0.000380129 t=16526
xiao huang che 	小黄车	c=1 d=0.0250972 t=16526
xiao huo ban 	小伙伴	c=2 d=0.683861 t=16526
xiao ji 	校级	c=7 d=0.683861 t=16526
xiao jiang 	笑江	c=3 d=0.0892129 t=16526
xiao ke ai 	小可爱	c=1 d=0.900325 t=16526
xiao lang hao 	小狼毫	c=1 d=0.637628 t=16526
xiao lao po 	小老婆	c=1 d=0.0305009 t=16526
xiao lv 	效率	c=4 d=0.00173804 t=16526
xiao mei mei 	小妹妹	c=1 d=6.87523e-05 t=16526
xiao mi 	小米	c=4 d=0.190189 t=16526
xiao nei 	校内	c=2 d=0.104406 t=16526
xiao nei cang 	校内仓	c=1 d=0.0845849 t=16526
xiao nv hai 	小女孩	c=1 d=1.21593e-06 t=16526
xiao peng 	小鹏	c=1 d=0.980199 t=16526
xiao qu 	校区	c=5 d=0.26825 t=16526
xiao san 	小三	c=1 d=0.00514361 t=16526
xiao shi 	小时	c=5 d=0.848538 t=16526
xiao shou 	销售	c=4 d=0.139336 t=16526
xiao shuo 	小说	c=2 d=0.0041637 t=16526
xiao si 	笑死	c=3 d=0.000177774 t=16526
xiao xi 	消息	c=5 d=1.36242 t=16526
xiao xin 	小心	c=1 d=0.00337959 t=16526
xiao yi 	小译	c=1 d=0.0578443 t=16526
xiao zuo wen 	小作文	c=1 d=0.00532682 t=16526
xie 	些	c=4 d=0.222616 t=16526
xie 	写	c=26 d=0.972024 t=16526
xie 	歇	c=1 d=0.290835 t=16526
xie 	鞋	c=2 d=0.20594 t=16526
xie bu lai 	写不来	c=1 d=0.0152985 t=16526
xie cheng 	携程	c=1 d=0.240508 t=16526
xie cuo 	写错	c=0 d=0.0856415 t=16526
xie cuo le 	写错了	c=1 d=0.860708 t=16526
xie dai 	懈怠	c=1 d=0.000678925 t=16526
xie de 	写的	c=1 d=0.00128757 t=16526
xie dian 	写点	c=1 d=0.00121866 t=16526
xie fa 	写法	c=1 d=0.529935 t=16526
xie guo 	写过	c=2 d=4.61063e-06 t=16526
xie jin qu 	写进去	c=2 d=1.02362 t=16526
xie le 	写了	c=3 d=0.371874 t=16526
xie ru 	写入	c=7 d=0.0654229 t=16526
xie shen me 	写什么	c=1 d=0.00436124 t=16526
xie shu ju ku 	写数据库	c=1 d=0.000157671 t=16526
xie xie 	写写	c=1 d=1.9321e-13 t=16526
xie xie 	谢谢	c=2 d=0.00165327 t=16526
xie yi 	写一	c=0 d=6.01007e-12 t=16526
xie yi pian 	写一篇	c=1 d=3.57311e-11 t=16526
xie yi shou 	写一首	c=3 d=2.55634e-07 t=16526
xie zai 	卸载	c=1 d=0.000283018 t=16526
xie zhe 	写着	c=1 d=1.99094e-13 t=16526
xie zuo 	协作	c=1 d=0.0884781 t=16526
xin 	新	c=16 d=0.874441 t=16526
xin 	欣	c=1 d=0.00223168 t=16526
xin 	鑫	c=1 d=0.00410726 t=16526
xin ban 	新版	c=1 d=1.25989e-12 t=16526
xin ban ben 	新版本	c=2 d=0.429557 t=16526
xin bing du 	新病毒	c=1 d=0.339596 t=16526
xin chun 	新春	c=1 d=0.0858632 t=16526
xin dan 	新单	c=0 d=0.00515605 t=16526
xin dan zi 	新单子	c=1 d=0.0518189 t=16526
xin hao 	心好	c=0 d=0.00121552 t=16526
xin hao tong 	心好痛	c=1 d=0.0122161 t=16526
xin huan 	新欢	c=1 d=0.00353515 t=16526
xin jia 	新加	c=1 d=0.0102549 t=16526
xin jian 	新建	c=2 d=0.17951 t=16526
xin ku 	辛苦	c=1 d=1.42739e-10 t=16526
xin li 	心理	c=1 d=5.80335e-11 t=16526
xin shou 	新手	c=1 d=0.489192 t=16526
xin tian di 	新天地	c=2 d=0.759311 t=16526
xin wen 	新闻	c=2 d=0.1388 t=16526
xin xi 	信息	c=31 d=1.0124 t=16526
xin xi tong 	新系统	c=16 d=1.47909 t=16526
xin zeng 	新增	c=15 d=0.806566 t=16526
xin zi 	薪资	c=1 d=0.194952 t=16526
xing 	刑	c=1 d=0.00142298 t=16526
xing 	姓	c=2 d=0.546178 t=16526
xing 	性	c=2 d=0.000607319 t=16526
xing 	行	c=8 d=1.26415 t=16526
xing 	醒	c=1 d=0.0328764 t=16526
xing ba 	行吧	c=2 d=0.313486 t=16526
xing bie 	性别	c=5 d=0.820798 t=16526
xing fu 	幸福	c=1 d=0.00927901 t=16526
xing ge 	性格	c=1 d=5.77441e-11 t=16526
xing kui 	幸亏	c=1 d=0.00358858 t=16526
xing le 	行了	c=2 d=0.223029 t=16526
xing le 	醒了	c=3 d=1.30927 t=16526
xing li xiang 	行李箱	c=1 d=3.80194e-06 t=16526
xing ma 	行吗	c=1 d=0.0992613 t=16526
xing ming 	姓名	c=0 d=0.000843808 t=16526
xing neng 	性能	c=2 d=0.30898 t=16526
xing qi 	星期	c=1 d=0.00467746 t=16526
xing rong 	形容	c=1 d=4.50722e-08 t=16526
xing shi 	形式	c=1 d=0.105928 t=16526
xing zheng 	行政	c=1 d=1.09191e-05 t=16526
xiong xin bao zi dan 	熊心豹子胆	c=1 d=0.0081887 t=16526
xiu 	修	c=1 d=3.26613e-13 t=16526
xiu 	秀	c=1 d=1.91255e-11 t=16526
xiu fu 	修复	c=17 d=0.965573 t=16526
xiu gai 	修改	c=39 d=1.04188 t=16526
xiu gai cheng 	修改成	c=1 d=0.082085 t=16526
xiu zheng 	修正	c=1 d=0.0160027 t=16526
xu 	徐	c=9 d=0.538254 t=16526
xu 	虚	c=2 d=0.00515203 t=16526
xu 	许	c=7 d=0.989172 t=16526
xu 	需	c=2 d=0.808751 t=16526
xu dong 	旭东	c=1 d=2.49203e-07 t=16526
xu gao 	虚高	c=1 d=0.0617291 t=16526
xu hao 	序号	c=1 d=0.0262523 t=16526
xu ke 	许可	c=1 d=0.000127806 t=16526
xu kun 	徐坤	c=0 d=0.0323033 t=16526
xu lie 	序列	c=3 d=0.844234 t=16526
xu ni ji 	虚拟机	c=5 d=0.0187795 t=16526
xu qiu 	需求	c=8 d=0.271173 t=16526
xu song 	许嵩	c=9 d=2.50695e-07 t=16526
xu yao 	需要	c=32 d=1.49244 t=16526
xuan 	选	c=6 d=0.921454 t=16526
xuan ran 	渲染	c=3 d=0.318224 t=16526
xuan ze 	选择	c=7 d=0.158308 t=16526
xuan zhong 	选中	c=9 d=0.0443785 t=16526
xue 	学	c=4 d=0.377253 t=16526
xue 	雪	c=1 d=0.00729913 t=16526
xue bu hui 	学不会	c=1 d=0.000973123 t=16526
xue dao 	学到	c=2 d=0.00697795 t=16526
xue dao le 	学到了	c=1 d=0.121238 t=16526
xue de 	学的	c=2 d=0.00843519 t=16526
xue hao 	学好	c=1 d=0.00367942 t=16526
xue hui 	学会	c=5 d=0.369723 t=16526
xue li 	学历	c=1 d=0.00527382 t=16526
xue qi 	学起	c=1 d=6.36415e-08 t=16526
xue shen me 	学什么	c=2 d=1.07145e-10 t=16526
xue sheng 	学生	c=15 d=2.96176 t=16526
xue sheng zheng 	学生证	c=7 d=2.26774 t=16526
xue xi 	学习	c=17 d=0.744212 t=16526
xue xiao 	学校	c=6 d=0.348192 t=16526
xue xue 	学学	c=2 d=0.000620491 t=16526
xue yuan 	学院	c=14 d=5.4857 t=16526
xue zhi 	血脂	c=0 d=1.3821e-14 t=16526
xue zhi qi na 	血脂起纳	c=1 d=1.38903e-13 t=16526
xue zhi qian 	薛之谦	c=2 d=7.13773e-11 t=16526
xun huan 	循环	c=4 d=0.184819 t=16526
xun qiu 	寻求	c=1 d=1.06036e-13 t=16526
xun zhang 	勋章	c=1 d=0.000294568 t=16526
ya 	亚	c=2 d=0.715338 t=16526
ya 	压	c=1 d=0.0356146 t=16526
ya le 	压了	c=1 d=0.0350844 t=16526
ya li 	压力	c=2 d=0.56836 t=16526
ya suo 	压缩	c=6 d=0.891366 t=16526
ya suo bao 	压缩包	c=1 d=0.000241172 t=16526
ya suo hou 	压缩后	c=1 d=0.0208584 t=16526
yan 	岩	c=1 d=0.00535353 t=16526
yan bian 	演变	c=1 d=0.0109985 t=16526
yan chang 	延长	c=2 d=0.221876 t=16526
yan chang 	演唱	c=2 d=0.174772 t=16526
yan fa 	研发	c=1 d=0.136014 t=16526
yan jing 	眼睛	c=1 d=0.142987 t=16526
yan jing 	眼镜	c=1 d=0.143704 t=16526
yan jiu sheng 	研究生	c=1 d=3.84943e-05 t=16526
yan qi 	延期	c=2 d=2.12595e-12 t=16526
yan se 	颜色	c=1 d=0.0129068 t=16526
yan shi 	演示	c=3 d=0.0133175 t=16526
yan shou 	验收	c=7 d=1.37828 t=16526
yan shou ren 	验收人	c=9 d=0.637158 t=16526
yan xi 	演习	c=1 d=0.135335 t=16526
yan yi kuan 	严屹宽	c=1 d=0.752014 t=16526
yan zheng 	验证	c=22 d=0.975458 t=16526
yan zheng ma 	验证码	c=4 d=1.57196 t=16526
yan zheng qi 	验证期	c=1 d=0.329559 t=16526
yan zhong 	严重	c=2 d=0.841716 t=16526
yang 	样	c=8 d=0.619826 t=16526
yang 	痒	c=2 d=0.000124585 t=16526
yang lei 	杨磊	c=1 d=0.909373 t=16526
yang li 	样例	c=2 d=0.283654 t=16526
yang mi 	杨幂	c=2 d=1.91209 t=16526
yang xu 	杨旭	c=1 d=0.00396599 t=16526
yao 	药	c=5 d=1.76593 t=16526
yao 	要	c=69 d=1.89217 t=16526
yao ba 	要把	c=0 d=1.3776e-05 t=16526
yao bu 	要不	c=2 d=0.360595 t=16526
yao bu jiu 	要不就	c=1 d=0.00733572 t=16526
yao bu ke ji 	遥不可及	c=1 d=0.00273944 t=16526
yao bu ran 	要不然	c=2 d=0.0753961 t=16526
yao bu yao 	要不要	c=2 d=3.19355e-05 t=16526
yao dao 	要到	c=2 d=0.156453 t=16526
yao gen 	要跟	c=1 d=0.00273944 t=16526
yao gun 	摇滚	c=1 d=6.8103e-11 t=16526
yao qing 	邀请	c=0 d=1.66241e-10 t=16526
yao qing ni 	邀请你	c=1 d=1.67074e-09 t=16526
yao qiu 	要求	c=5 d=0.0080684 t=16526
yao sha 	要杀	c=1 d=0.311923 t=16526
yao shi 	要是	c=8 d=0.33645 t=16526
yao shou 	要瘦	c=1 d=0.394554 t=16526
yao wo 	要我	c=1 d=9.00784e-07 t=16526
yao xia 	要下	c=1 d=1.03865e-05 t=16526
yao yi 	要以	c=1 d=2.57588e-14 t=16526
yao yong 	要用	c=2 d=0.122456 t=16526
yao you 	要有	c=2 d=0.18452 t=16526
yao zhe 	要着	c=1 d=0.000119165 t=16526
ye 	业	c=2 d=0.00990861 t=16526
ye 	也	c=67 d=2.22079 t=16526
ye 	夜	c=1 d=0.0247235 t=16526
ye 	爷	c=1 d=0.410656 t=16526
ye 	页	c=7 d=0.415679 t=16526
ye bei 	也被	c=2 d=0.873716 t=16526
ye bie 	也别	c=1 d=0.267135 t=16526
ye bu 	也不	c=1 d=0.447088 t=16526
ye bu shi 	也不是	c=1 d=0.000169951 t=16526
ye bu xing 	也不行	c=3 d=0.618783 t=16526
ye dou 	也都	c=2 d=0.379083 t=16526
ye dou zai 	也都在	c=1 d=0.310367 t=16526
ye huang su 	叶黄素	c=2 d=3.04412e-05 t=16526
ye hui 	也会	c=4 d=0.479505 t=16526
ye jiu 	也就	c=1 d=0.00211225 t=16526
ye jiu shi 	也就是	c=2 d=0.0183156 t=16526
ye ke yi 	也可以	c=4 d=0.142255 t=16526
ye mai 	也买	c=1 d=0.22091 t=16526
ye mei 	也没	c=6 d=0.196407 t=16526
ye mei yong 	也没用	c=1 d=0.207008 t=16526
ye mei you 	也没有	c=2 d=0.00433961 t=16526
ye mei za 	也没咋	c=1 d=0.218712 t=16526
ye mian 	页面	c=19 d=0.559898 t=16526
ye neng 	也能	c=4 d=0.891544 t=16526
ye pao 	夜跑	c=1 d=0.158025 t=16526
ye shi 	也是	c=9 d=0.845672 t=16526
ye shu 	页数	c=1 d=0.640824 t=16526
ye song 	也送	c=1 d=0.0308074 t=16526
ye xing 	也行	c=16 d=1.27718 t=16526
ye xu yao 	也需要	c=1 d=0.0259911 t=16526
ye yao 	也要	c=4 d=0.955997 t=16526
ye you 	也有	c=8 d=0.603506 t=16526
ye you dian 	也有点	c=1 d=0.00128757 t=16526
ye zai 	也在	c=1 d=0.000162473 t=16526
yi 	一	c=4 d=0.458406 t=16526
yi 	亿	c=1 d=0.0228227 t=16526
yi 	以	c=8 d=0.354019 t=16526
yi 	已	c=9 d=0.733465 t=16526
yi 	译	c=2 d=0.895834 t=16526
yi ba 	一把	c=2 d=0.0939493 t=16526
yi bai duo 	一百多	c=0 d=0.0373439 t=16526
yi bai duo ge ren 	一百多个人	c=1 d=0.375311 t=16526
yi bai duo wan 	一百多万	c=1 d=0.442639 t=16526
yi ban 	一般	c=13 d=0.242142 t=16526
yi bei an 	已备案	c=1 d=0.941765 t=16526
yi bi 	一比	c=1 d=0.000163287 t=16526
yi bian 	一遍	c=3 d=0.366045 t=16526
yi bian yu 	以便于	c=1 d=4.8091e-06 t=16526
yi bing 	一并	c=1 d=0.0884781 t=16526
yi bo 	一波	c=1 d=0.298197 t=16526
yi bo 	毅博	c=7 d=1.26048 t=16526
yi bu 	一步	c=3 d=0.915324 t=16526
yi bu fen 	一部分	c=1 d=1.7658e-13 t=16526
yi ceng 	一层	c=2 d=0.343009 t=16526
yi chang 	异常	c=6 d=0.0698503 t=16526
yi chu 	一出	c=1 d=0.0236356 t=16526
yi chu 	移除	c=1 d=0.0237541 t=16526
yi ci 	一次	c=7 d=0.390628 t=16526
yi cun zai 	已存在	c=3 d=0.690734 t=16526
yi dai 	一袋	c=1 d=0.0020396 t=16526
yi dian 	一点	c=3 d=0.76556 t=16526
yi ding 	一定	c=1 d=0.000113922 t=16526
yi dong 	移动	c=1 d=0.0291588 t=16526
yi duan 	一段	c=1 d=0.00171216 t=16526
yi dui 	一堆	c=2 d=0.0067087 t=16526
yi dui ren 	一堆人	c=1 d=0.00101791 t=16526
yi dui shi 	一堆事	c=1 d=4.40582e-05 t=16526
yi dui yi 	一对一	c=1 d=0.0010701 t=16526
yi fen 	一份	c=1 d=3.70038e-11 t=16526
yi fu 	衣服	c=4 d=0.721965 t=16526
yi ge 	一个	c=60 d=1.70556 t=16526
yi ge gong ju 	一个工具	c=1 d=0.00771183 t=16526
yi ge ren 	一个人	c=2 d=0.0109436 t=16526
yi ge yue 	一个月	c=3 d=0.353455 t=16526
yi gui 	衣柜	c=1 d=0.0434998 t=16526
yi hang 	一行	c=1 d=2.00473e-06 t=16526
yi hou 	以后	c=7 d=0.22313 t=16526
yi hui 	一会	c=8 d=0.988581 t=16526
yi ji 	一级	c=1 d=0.0495388 t=16526
yi ji 	一集	c=3 d=0.503835 t=16526
yi ji 	以及	c=4 d=0.0049667 t=16526
yi jian 	意见	c=1 d=0.000584356 t=16526
yi jing 	已经	c=17 d=1.02741 t=16526
yi jing 	易经	c=3 d=0.00835838 t=16526
yi jing shi 	已经是	c=1 d=0.000127168 t=16526
yi kai shi 	一开始	c=6 d=0.644036 t=16526
yi kao 	依靠	c=1 d=0.0220377 t=16526
yi ke 	医科	c=7 d=0.336216 t=16526
yi kuai 	一块	c=3 d=0.380983 t=16526
yi lai 	依赖	c=8 d=1.96847 t=16526
yi lai bao 	依赖包	c=1 d=0.00673795 t=16526
yi nei 	以内	c=1 d=7.15825e-09 t=16526
yi nian 	一年	c=7 d=0.547791 t=16526
yi pi 	一批	c=1 d=0.767206 t=16526
yi ping 	一瓶	c=1 d=6.81146e-13 t=16526
yi qi 	一起	c=1 d=0.0141223 t=16526
yi qian 	以前	c=6 d=0.0526021 t=16526
yi qing 	疫情	c=2 d=0.00282287 t=16526
yi ren 	一人	c=2 d=0.377192 t=16526
yi sheng 	医生	c=0 d=0.0628135 t=16526
yi shi 	已是	c=2 d=1.8774e-05 t=16526
yi shi di shang shuang 	疑是地上霜	c=1 d=7.91244e-11 t=16526
yi shou 	一手	c=1 d=0.0037164 t=16526
yi shou 	一首	c=2 d=2.67339e-07 t=16526
yi shuang 	一双	c=1 d=0.571209 t=16526
yi si 	意思	c=12 d=1.64882 t=16526
yi sui 	一岁	c=1 d=0.447088 t=16526
yi tang 	一趟	c=1 d=0.190139 t=16526
yi tao 	一套	c=2 d=0.45612 t=16526
yi tian 	一天	c=3 d=0.292293 t=16526
yi tiao 	一条	c=1 d=0.000488095 t=16526
yi wan 	一晚	c=1 d=1.37474e-09 t=16526
yi wei 	以为	c=2 d=0.540641 t=16526
yi wen 	一问	c=1 d=1.25296e-06 t=16526
yi wen 	疑问	c=1 d=1.24671e-06 t=16526
yi wen san bu zhi 	一问三不知	c=1 d=0.000290183 t=16526
yi xia 	一下	c=13 d=0.854663 t=16526
yi xia wu 	一下午	c=1 d=0.0023461 t=16526
yi xie 	一些	c=19 d=1.13395 t=16526
yi xiu 	衣袖	c=0 d=0.0213312 t=16526
yi xiu fu 	已修复	c=1 d=0.215456 t=16526
yi xiu fu 	衣袖符	c=1 d=0.214381 t=16526
yi yan 	一眼	c=1 d=0.00231117 t=16526
yi yan 	已验	c=1 d=0.125556 t=16526
yi yan jia 	一眼假	c=1 d=0.00701293 t=16526
yi yan shou 	已验收	c=2 d=0.662498 t=16526
yi yang 	一样	c=18 d=0.856424 t=16526
yi yi 	意义	c=1 d=0.597501 t=16526
yi yuan 	一元	c=2 d=0.460704 t=16526
yi yuan 	医院	c=1 d=2.23206e-05 t=16526
yi zhan 	驿站	c=1 d=0.0146253 t=16526
yi zhe 	一折	c=1 d=0.0963276 t=16526
yi zhi 	一直	c=4 d=0.819244 t=16526
yi zhi 	一致	c=4 d=0.13003 t=16526
yi zhi 	移植	c=1 d=5.73273e-14 t=16526
yi zhi bao 	易制爆	c=1 d=0.137381 t=16526
yi zhong 	一种	c=1 d=5.00877e-14 t=16526
yi zhou 	一周	c=2 d=0.00755912 t=16526
yin cang 	隐藏	c=2 d=0.380983 t=16526
yin dao 	引导	c=1 d=0.0086517 t=16526
yin du 	印度	c=1 d=0.0155297 t=16526
yin hang 	银行	c=1 d=0.0254765 t=16526
yin hang ka 	银行卡	c=1 d=0.064894 t=16526
yin hao 	引号	c=3 d=0.0532061 t=16526
yin lian ka 	银联卡	c=1 d=0.0428521 t=16526
yin qing 	引擎	c=1 d=0.00135358 t=16526
yin wei 	因为	c=4 d=0.0593087 t=16526
yin ying 	阴影	c=3 d=2.69315e-08 t=16526
yin yong 	引用	c=4 d=0.694088 t=16526
yin yue 	音乐	c=2 d=0.01264 t=16526
ying 	硬	c=1 d=0.00215492 t=16526
ying 	赢	c=1 d=0.00115345 t=16526
ying gai 	应该	c=48 d=1.53159 t=16526
ying gai neng 	应该能	c=0 d=1.74734e-08 t=16526
ying gai shi 	应该是	c=8 d=0.0230521 t=16526
ying guo 	英国	c=1 d=0.00012341 t=16526
ying jian 	硬件	c=1 d=0.178173 t=16526
ying qi 	硬气	c=1 d=0.16696 t=16526
